index,name,laDegree,laMinute,loDegree,loMinute
40241,柿岡,36,14,140,11.3
40251,美野里,36,14.2,140,19.5
40281,下妻,36,10.1,139,56.7
40311,鉾田,36,10.1,140,31.6
40326,坂東,36,2.1,139,53.6
40336,つくば,36,3.4,140,7.5
40341,土浦,36,6.2,140,13.2
40391,江戸崎,35,57.6,140,19.2
40406,鹿嶋,35,57.8,140,37.3
40426,龍ケ崎,35,53.4,140,12.7
41011,那須高原,37,7.4,140,2.1
41076,五十里,36,55.3,139,41.7
41091,黒磯,36,58.9,140,1.1
41116,土呂部,36,53.5,139,34.1
41141,大田原,36,50.4,140,2.1
41166,奥日光,36,44.3,139,30
41171,今市,36,43.6,139,40.6
41181,塩谷,36,45.4,139,53
41211,足尾,36,38.8,139,26.9
41241,高根沢,36,36.4,139,59.9
41247,那須烏山,36,38.5,140,7
41271,鹿沼,36,35.5,139,44.1
41277,宇都宮,36,32.9,139,52.1
41311,葛生,36,25.9,139,35.4
41331,真岡,36,28.6,139,59.2
41356,足利,36,18.1,139,28.4
41361,佐野,36,21.8,139,34.2
41371,栃木,36,22.4,139,42.2
41376,小山,36,20.3,139,49.8
42046,藤原,36,51.8,139,3.5
42091,みなかみ,36,46.4,138,57.9
42106,片品,36,46.3,139,14.3
42121,草津,36,37,138,35.5
42146,沼田,36,40.1,139,1.3
42186,中之条,36,35.2,138,51
42221,田代,36,27.8,138,27.8
42241,榛名山,36,28.3,138,52.4
42251,前橋,36,24.3,139,3.6
42251,前橋,36,23.2,139,2.3
42261,黒保根,36,30.1,139,17
42266,桐生,36,24.6,139,19.5
42286,上里見,36,22.6,138,53.7
42302,伊勢崎,36,19.9,139,9.9
42326,西野牧,36,14.7,138,42.4
42341,藤岡,36,14.5,139,4.2
42366,館林,36,14.4,139,30.8
42396,神流,36,6.5,138,53.8
43051,寄居,36,6.3,139,11
43056,熊谷,36,9,139,22.8
43091,上吉田,36,3.2,138,58.8
43121,鴻巣,36,3.9,139,31.3
43126,久喜,36,5.2,139,38.1
43151,三峰,35,55.6,138,55.4
43156,秩父,35,59.4,139,4.4
43157,浦山,35,55.2,139,4.2
43162,ときがわ,35,59.4,139,12.4
43171,鳩山,35,59.1,139,20.1
43231,飯能,35,50.3,139,19.3
43241,さいたま,35,52.5,139,35.2
43256,越谷,35,53,139,45.4
43266,所沢,35,46.4,139,24.8
44046,小河内,35,47.5,139,3
44051,小沢,35,44.1,139,7.4
44056,青梅,35,47.3,139,18.7
44071,練馬,35,44.3,139,35.5
44112,八王子,35,40,139,19
44116,府中,35,41,139,29
44126,世田谷,35,37.6,139,37.2
44132,東京,35,41.5,139,45
44132,東京,35,41.5,139,45.1
44136,江戸川臨海,35,38.3,139,51.8
44166,羽田,35,33.2,139,46.8
44172,大島,34,44.9,139,21.7
44173,大島北ノ山,34,46.9,139,21.6
44191,利島,34,31.7,139,16.9
44207,新島,34,22.1,139,16.1
44216,神津島,34,11.3,139,8
44226,三宅島,34,7.4,139,31.2
44228,三宅坪田,34,4.4,139,33.6
44262,八重見ヶ原,33,6.9,139,47.1
44263,八丈島,33,7.3,139,46.7
44263,八丈島,33,6.2,139,47
44281,青ヶ島,32,28,139,45.6
44301,父島,27,5.5,142,11.4
44316,母島,26,38.1,142,9.7
44356,南鳥島,24,17.3,153,59
50066,富士山,35,21.6,138,43.6
45061,我孫子,35,51.8,140,6.6
45081,香取,35,51.5,140,30.1
45086,東庄,35,47.7,140,40.9
45106,船橋,35,42.7,140,2.6
45116,佐倉,35,43.7,140,12.7
45121,成田,35,45.8,140,23.1
45147,銚子,35,44.3,140,51.4
45181,横芝光,35,39.4,140,28.8
45212,千葉,35,36.1,140,6.2
45261,茂原,35,26.2,140,17.6
45282,木更津,35,21.7,139,56.4
45291,牛久,35,23.8,140,8.9
45326,坂畑,35,14.1,140,5.9
45331,大多喜,35,15.1,140,12.9
45346,鋸南,35,7.3,139,50.2
45361,鴨川,35,6.7,140,6
45371,勝浦,35,9,140,18.7
45401,館山,34,59.2,139,51.9
46001,相模湖,35,36.8,139,11.6
46046,相模原中央,35,34.3,139,22.2
46061,日吉,35,33.1,139,39
46076,丹沢湖,35,24.6,139,2.6
46091,海老名,35,26,139,23.2
46106,横浜,35,26.3,139,39.1
46136,平塚,35,20.7,139,18.3
46141,辻堂,35,19.2,139,27
46161,箱根,35,13.3,139,2.5
46166,小田原,35,16.6,139,9.3
46211,三浦,35,10.7,139,37.8
48031,野沢温泉,36,54.7,138,26.5
48061,信濃町,36,48.5,138,11.8
48066,飯山,36,52.5,138,22.5
48097,小谷,36,49.3,137,55.8
48141,白馬,36,41.9,137,51.7
48146,鬼無里,36,41.3,137,57.9
48156,長野,36,39.7,138,11.5
48172,笠岳,36,39.9,138,27.5
48191,大町,36,31.4,137,49.9
48196,信州新町,36,32.9,137,59.8
48216,菅平,36,31.9,138,19.5
48247,聖高原,36,29.2,138,4.1
48256,上田,36,24,138,15.9
48296,穂高,36,20.6,137,52.9
48321,東御,36,23,138,23
48331,軽井沢,36,20.5,138,32.8
48331,軽井沢,36,20.1,138,33.8
48346,上高地,36,14.9,137,38
48361,松本,36,14.8,137,58.2
48363,松本今井,36,10,137,55.3
48371,鹿教湯,36,18.1,138,8.2
48381,立科,36,16.3,138,18.8
48386,佐久,36,14.8,138,28.6
48436,白樺湖,36,6.3,138,13.7
48466,奈川,36,5.3,137,41
48491,諏訪,36,2.7,138,6.5
48491,諏訪,36,2.4,138,6.1
48516,北相木,36,4.3,138,36.7
48531,開田高原,35,56.3,137,36.1
48536,木祖薮原,35,56.2,137,47.2
48546,辰野,35,59,137,59
48556,高遠,35,57.2,138,6.5
48561,原村,35,58.2,138,13.2
48571,野辺山,35,56.9,138,28.3
48601,御嶽山,35,52.3,137,30.2
48606,木曽福島,35,50.4,137,41.3
48621,伊那,35,49.5,137,57.3
48681,宮田高原,35,46.4,137,53.1
48691,杉島,35,43.6,138,5.6
48716,須原,35,41.9,137,41.5
48717,南木曽,35,36.6,137,37.2
48731,飯島,35,39.2,137,53.9
48737,大鹿,35,33.4,138,2.4
48767,飯田,35,31.4,137,49.3
48826,浪合,35,22.4,137,41.5
48836,阿南,35,18.8,137,48.7
48841,南信濃,35,19.3,137,55.9
49036,大泉,35,51.7,138,23.2
49052,乙女湖,35,48.4,138,39.3
49086,韮崎,35,41.6,138,26.9
49142,甲府,35,40,138,33.2
49151,勝沼,35,39.8,138,43.5
49161,大月,35,36.5,138,56.3
49172,上野原,35,37.2,139,6.3
49187,富士川,35,33.7,138,26.9
49196,古関,35,31.7,138,36.9
49236,切石,35,28,138,26.5
49251,河口湖,35,30,138,45.6
49256,山中,35,26.2,138,50.2
49316,南部,35,17.3,138,26.7
50056,白糸,35,18.7,138,34.7
50106,井川,35,13,138,13.3
50112,有東木,35,12.4,138,22.1
50136,御殿場,35,18.3,138,55.6
50196,富士,35,11.1,138,39.8
50206,三島,35,6.8,138,55.5
50226,佐久間,35,3.4,137,45.7
50232,春野,35,0.7,137,56.7
50241,川根本町,35,6.1,138,7.7
50247,鍵穴,35,2.9,138,14.8
50261,清水,35,3.2,138,31.3
50281,網代,35,2.7,139,5.5
50296,熊,34,57.5,137,44
50317,高根山,34,58.5,138,11.8
50331,静岡,34,58.5,138,24.2
50371,三ヶ日,34,48.1,137,33.4
50386,天竜,34,53.4,137,48.8
50391,三倉,34,53.7,137,56.4
50416,土肥,34,52.6,138,45.7
50426,湯ケ島,34,54,138,55.5
50427,天城山,34,52.3,139,1.4
50456,浜松,34,45.2,137,42.7
50466,掛川,34,46.1,137,59.7
50476,菊川牧之原,34,47.1,138,8.3
50477,静岡空港,34,47.7,138,11.3
50491,松崎,34,45.3,138,47
50506,稲取,34,46.9,139,2.9
50536,磐田,34,41.5,137,52.8
50551,御前崎,34,36.2,138,12.8
50561,石廊崎,34,36.2,138,50.5
51011,一宮,35,17.9,136,51.2
51031,愛西,35,13,136,41.9
51056,小原,35,13.7,137,17.1
51071,稲武,35,12.7,137,30.4
51077,茶臼山,35,13.2,137,39.6
51096,蟹江,35,8.2,136,47.5
51106,名古屋,35,10,136,57.9
51116,豊田,35,7.9,137,10.6
51192,阿蔵,35,4.7,137,24.8
51216,大府,34,59.7,136,56.6
51226,岡崎,34,55.1,137,11.6
51241,作手,34,58.6,137,25.5
51247,新城,34,54.4,137,31.1
51261,セントレア,34,51.5,136,48.3
51271,一色,34,48.7,137,1.7
51281,蒲郡,34,50.7,137,13
51311,南知多,34,44.4,136,56.3
51331,豊橋,34,45,137,20.5
51346,伊良湖,34,37.7,137,5.6
51356,田原,34,37.6,137,13.3
52041,河合,36,18.3,137,6
52051,神岡,36,19.3,137,18.5
52081,白川,36,16.4,136,53.8
52111,栃尾,36,14.9,137,30.2
52131,御母衣,36,8.8,136,54.5
52137,清見,36,10.8,137,2.7
52146,高山,36,9.3,137,15.2
52152,丹生川,36,11.2,137,22.3
52173,ひるがの,36,0.6,136,53.6
52181,六厩,36,3.6,137,2.1
52192,船山,36,2.1,137,15.6
52196,宮之前,36,0.9,137,23.3
52221,長滝,35,55.4,136,49.9
52286,萩原,35,53.3,137,12.4
52321,関市板取,35,43.4,136,47
52331,八幡,35,45.4,136,58.7
52346,宮地,35,45.8,137,17.3
52381,樽見,35,38.3,136,36.1
52406,金山,35,39.7,137,9.6
52421,付知,35,39.7,137,25.6
52461,美濃,35,33.3,136,54.6
52476,伽藍,35,30.9,137,13.8
52482,黒川,35,35.9,137,19.1
52511,揖斐川,35,29.1,136,34
52536,美濃加茂,35,26.7,137,0.3
52556,恵那,35,26.8,137,24.2
52557,中津川,35,28.6,137,29.2
52571,関ケ原,35,21.8,136,28
52581,大垣,35,20.8,136,37.2
52586,岐阜,35,24,136,45.7
52606,多治見,35,20.8,137,6.5
52642,上石津,35,14.8,136,27.5
53016,北勢,35,8.6,136,32.3
53041,桑名,35,3,136,41.6
53061,四日市,34,56.4,136,34.8
53091,亀山,34,52.2,136,27.2
53112,上野,34,45.7,136,8.5
53121,笠取山,34,43.5,136,18.5
53133,津,34,44,136,31.1
53133,津,34,43.3,136,31.5
53141,名張,34,37.6,136,6.5
53151,白山,34,37.5,136,19.3
53196,小俣,34,31.7,136,39.9
53231,粥見,34,26.9,136,23.4
53257,鳥羽,34,28.9,136,49.5
53287,藤坂峠,34,19.4,136,29.3
53296,南伊勢,34,20.7,136,40.9
53307,阿児,34,18.5,136,52.4
